Run,Bandwidth,Mean_Local_R2,RMSE,MAE,R2_Global
126,53.0,0.4873800949446941,0.6601059817912006,0.49678143494053345,0.8497397052318119
125,53.0,0.49235420687948217,0.6501617441874746,0.4888689129812402,0.8540620249822375
128,53.0,0.4910656582779414,0.6608989278834189,0.4973894939505204,0.853494568292512
129,53.0,0.4888204950512809,0.6639079734727963,0.4991365894577819,0.8516189960026841
130,53.0,0.49641824599195733,0.6509097686142664,0.48745097294945644,0.8576147912461617
131,53.0,0.49888741298886236,0.6626249029061462,0.4999414892699265,0.8557946439178918
132,53.0,0.49542621465574127,0.6524491133226745,0.49104315420637556,0.8562127006570927
134,53.0,0.49838456898052336,0.6545191018258152,0.48956382052816927,0.8591168124841989
133,53.0,0.4887914200118255,0.6703674571225063,0.4979126246680127,0.84423637785579
135,53.0,0.49983921950181504,0.6625506106143515,0.4983737293567739,0.854906858436319
136,53.0,0.4864056193972907,0.6644113616622208,0.4980038826752248,0.8493888242069485
137,53.0,0.49681863361619644,0.6553804829852289,0.49107009498463233,0.8553484534209463
138,53.0,0.4953080082330527,0.6565218170281074,0.49059146817907456,0.8509123734151296
140,53.0,0.48910959767682427,0.6614322209084655,0.49542727607167364,0.850946596328698
139,53.0,0.48948822414587,0.6433294431952522,0.4835289472393759,0.8536300258269321
142,53.0,0.49639808891382825,0.6611536559137251,0.49662345173276007,0.8514767845867012
141,53.0,0.4928866427927129,0.6481207692476366,0.4866105117002619,0.8552997039100663
143,53.0,0.49088480776868165,0.6644630463268695,0.5032266459565369,0.8491304099402157
144,53.0,0.4956494121459592,0.6536027446350569,0.4887825863612326,0.8558905930361375
145,53.0,0.4923928886518793,0.6599838892308607,0.490956443061704,0.8495379039989032
146,53.0,0.4955770885404206,0.6567911611939371,0.49549746336367806,0.8543158187524926
148,53.0,0.5003006625788349,0.6506149715782198,0.4880097735106592,0.8554373232648869
147,53.0,0.4911825936976099,0.6596550354136134,0.49729487148946827,0.8541414127907849
149,53.0,0.49601969081122305,0.6547322951241649,0.4920630465540697,0.8566978908671216
150,53.0,0.49108325616507137,0.6555454909886712,0.4934336581091962,0.8532406689265634
151,53.0,0.4915870941080718,0.6574707573857619,0.49353349106162714,0.851280556177136
152,53.0,0.4961830692212491,0.6538160473351132,0.48977926879270856,0.8555109370189857
153,53.0,0.4904655212432569,0.6573050122356128,0.49171401454364677,0.8509545139448468
154,53.0,0.489714077550889,0.6555773306129967,0.4949288669925084,0.8529215098319683
155,53.0,0.4906307476025972,0.6577036291495031,0.4929318543095692,0.8533232288972898
156,53.0,0.5007924843678601,0.6597828324950812,0.4952565843014697,0.8524880246114387
158,53.0,0.49712702669275105,0.6493460117013299,0.4899757079276939,0.8574788061792914
157,53.0,0.49219427897418516,0.6647836385413056,0.4960938699898181,0.8495053530241823
159,53.0,0.48877655773616496,0.6662636141602143,0.5001536003041347,0.8494952343640739
160,53.0,0.4924266974708967,0.6699810509781536,0.501440858366408,0.8459721264387298
161,53.0,0.5007462337521178,0.6487767733660994,0.4902408557987055,0.858164465286685
162,53.0,0.4911786714464885,0.6604044697664774,0.49593381535571507,0.8480176348796515
163,53.0,0.496772035189305,0.6524261488864005,0.4912254669165921,0.8565997814427996
164,53.0,0.49513398756952876,0.6606937287129679,0.49592800382974145,0.8517932098407606
165,53.0,0.49397649047479536,0.6560909584304492,0.49400969327978567,0.8543892728931578
166,53.0,0.4898246670489481,0.6604419591776468,0.4931836891534892,0.8529318485133798
167,53.0,0.49176058633482805,0.6570991016417251,0.49071813240067985,0.8531463536362017
168,53.0,0.4969263701784038,0.6595109674238703,0.4942751202840942,0.8505506601990699
169,53.0,0.49027275530806264,0.6609836090853506,0.49460895984251757,0.8520943275148
170,53.0,0.4858478622766258,0.6596436253334567,0.49843169997719317,0.8484693536428669
172,53.0,0.5014004053375335,0.6522883428562527,0.48990170354542817,0.8541158117343323
171,53.0,0.49294255336423404,0.6622801671566177,0.49435653559318415,0.8469510730038083
