OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
263,31.14,0,23.83,50,90.27,342129.2283,276526.4389
265,19.05,0,90.58,40,701.03,352857.5749,262451.6354
267,22.41,0,92.8,40,1281.22,349511.1184,264616.9897
268,23.59,0,51.68,40,198.29,343999.3069,275148.486
269,48.68,100,0,100,174.4,337011.1178,263140.6117
270,21.59,0,100,30,1402.07,349117.4174,266487.0686
271,19.39,0,90.3,40,344.28,344786.7085,271802.0294
272,8.11,0,100,30,188.77,349018.9924,272491.0057
273,18.38,0,75.66,61.3,310.16,359648.9137,272687.8561
274,28.98,46.86,45.32,65.49,204.68,337896.9448,273376.8324
275,14.52,0,46.74,40,741.82,343903.0961,263535.6044
276,23.06,17.11,67.85,45.97,514.72,349511.1184,273475.2577
277,15,19.86,18.63,91.24,81.24,354038.6776,253888.643
278,22.22,0,77.84,51.92,621.81,345377.2598,262648.4857
279,28.09,0,81.36,50,264.46,339373.3227,270817.7775
280,26.42,40,97.04,40,688.93,342129.2283,265109.1156
281,16,0,96.98,50,255.94,354704.8731,256004.0528
283,9.3,0,100,30,131.65,343015.0549,267963.4465
285,41.25,0,37.51,40,521,343408.7559,279577.6202
286,31.58,0,41.77,50,310.12,336912.6928,274361.0843
288,26,40,99.72,40,622.65,341735.5273,265502.8166
289,25.08,0,62.93,40,219.7,340948.126,269931.9505
291,24.16,0,99.71,40,994.92,345967.8112,264321.714
292,14.84,0,88.58,40,790.24,351873.323,264912.2653
294,16.56,0,89.07,50,401.53,354333.9529,260483.1315
296,27,0,93.79,30,749.84,340948.126,265502.8166
297,25.15,0,63.38,50,26.71,338093.7951,271900.4544
298,57.17,0,0,64.99,173.49,336812.07,262969.6639
299,20.78,0,75.07,30,558.45,347837.8898,262845.336
300,24.51,0,93.06,50,346.86,350987.4963,273179.982
301,8.63,0,52.16,40,423.77,350790.6457,275542.187
302,17.09,0,100,50,731.69,351971.7483,265699.667
304,24,0,97.37,30,860.19,347444.1891,267569.7456
305,3.62,0,54.07,50,86.83,355121.3545,267668.1709
306,2.96,0,46.68,40,35.76,350101.6694,271113.0528
308,24.17,0,92.15,40,989.04,345475.6852,264124.8637
309,12,87.84,0,50,51,340259.1493,268357.1472
310,43,0,55.87,40,557,354333.9529,274853.2107
311,29.82,0,90.76,40,267.87,341735.5273,274557.935
312,24.99,0,93.33,40,274.68,344786.7085,272983.1317
313,40.31,0,61.43,63.84,601.9,345967.8112,278691.7932
314,36.18,11.24,78.03,40,829.98,355515.0555,271802.0294
315,20,0.81,100,40,311.02,348330.0158,260089.4305
316,11,0,100,40,270.18,350790.6457,258120.9265
317,46.33,0,28.25,63.19,470.04,339373.3227,273475.2577
318,13.45,40,25.07,40,273.91,342621.3543,266388.6433
