OBJECTID,dk_correction
27109,-0.00828439
8172,-0.0048493217
19316,-0.00018252945
20743,-0.0007612477
55035,0.00013084104
52952,-0.00040485105
57031,0.0011617956
39857,-0.00079454994
9874,-0.002196086
4304,0.00087515684
11843,-0.0014587804
26136,-0.0027467306
34597,-0.004086956
20716,-0.0002362798
33925,0.0009232932
15421,-0.0010345257
36974,0.0010217619
55540,0.00024844846
52799,-0.0022641006
1523,0.0020239349
27201,-0.002620052
48237,0.0006259247
12084,-0.00083923293
42237,0.0010728794
3290,0.0009855614
2255,-0.0013291999
34045,0.001980078
3406,-0.001492742
7971,-0.013355024
2552,-0.0025167004
917,-0.0014865599
40952,-0.005945414
17008,-0.002241054
20474,-0.0024398058
35479,-0.0021155472
46300,-0.0019744108
56412,-0.004914995
56274,0.00072447956
22428,-0.0052234526
33029,-0.007744878
24141,-0.00019069249
49786,-0.003932595
2984,-0.00035052514
27420,-0.0009743548
15028,6.563822e-05
28955,-0.0053832526
36952,-0.0010900865
27941,-0.0023712064
40244,0.00034005241
29159,-0.0011118152
12503,0.00025878707
28677,0.00061567686
35377,-0.0017029452
2773,-0.0025523598
6903,0.00023473287
46084,-0.0049897204
45202,-0.003860015
19834,-0.0012659668
5546,-0.00033991737
28718,0.0010621524
53363,-1.0154676e-05
13333,0.0021770787
18009,0.0019458611
48800,0.01635199
45300,-0.0017886828
30534,-0.0012538019
56741,-0.011011772
37308,0.0010414063
53283,-0.00034527248
18242,-0.0040225754
38227,-0.0010884092
10514,-0.0009786836
4919,-0.0051805708
15680,-0.0059552263
33974,0.0007736129
43940,-0.0015753317
57140,-0.004757866
22382,-0.00031801919
30848,0.00136192
22271,-0.0035594678
46467,-0.00084951473
45625,0.00065598683
36078,-0.0012874943
53654,0.0011930834
21517,-0.00024134992
23182,-5.1235314e-05
47599,-0.007521204
4560,0.00031030225
50679,0.00092325406
48323,-0.00068865204
36479,0.001431589
27619,-0.0008583269
20915,0.0037861713
23637,-0.0042138915
27310,0.00087486627
21440,-0.0071194167
13601,-0.00488007
35770,-0.0010007187
19900,-0.0057078744
29233,0.00096225087
39756,-0.00072547374
46166,-0.0020247954
58235,-0.004827864
44083,0.0009537046
53386,-0.0012876154
6158,0.0010877033
15646,-0.00034068013
23662,-0.00791477
3829,-0.0008918117
