OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
40337,85,0,0,0.659,296187.9136,4634483.269
16237,89,0,0.6324903,0.69,296187.9528,4631391.595
31630,89,0.019,0.4973182,0.611,296188.2123,4633462.708
49463,88,1,0,0.802,296188.4937,4635533.82
23562,88,0.121,0.3450652,0.54,296188.5163,4632442.147
40611,84,0,0.08758,0.659,296188.7869,4634513.26
16442,89,0.241,0.4440679,0.683,296188.8257,4631421.586
31862,89,0.122,0.3508145,0.619,296189.0855,4633492.699
49705,88,0.163,0.0716838,0.817,296189.3672,4635563.811
23792,88,0.195,0.6748947,0.548,296189.3894,4632472.138
